Title,Description,Subject,Date,Collection,Institution,Thumbnail,Link
Psychological implications of using electronic learning /,,Internet in education,2004,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma995634533402909
"Effects of an applied behavior analysis training program on self-efficacy, perceived stress, and behavioral skills of parents and caregivers of children with developmental disabilities / by Tricia A. Wood.","Caregivers of children with developmental disabilities may feel increased stress and a lack of confidence relating to teaching appropriate behaviors and coping with maladaptive behaviors. This increased stress and lack of confidence may result in an inability to effectively teach appropriate behaviors and cope with maladaptive behaviors. Providing caregivers with an opportunity to learn teaching strategies that use applied behavior analysis may reduce caregiver stress and increase confidence for teaching appropriate behaviors and coping with maladaptive behaviors. Therefore it is essential to investigate the effectiveness of applied behavior analysis training programs on caregivers' self-efficacy, perceived stress, and behavioral skills. This study investigated the effectiveness of caregiver training in increasing self-efficacy and decreasing stress levels in seven caregivers of children with developmental disabilities. The study also looked at caregiver and child behavior changes by conducting single subject research with two participants. The seven caregivers participated in a five--week training focusing on applied behavior analysis teaching strategies. Caregivers were given a general self-efficacy measure and stress and confidence measures for teaching appropriate behaviors and coping with maladaptive behaviors. Participants in this study showed a significant increase in general self-efficacy, confidence for coping with maladaptive behaviors, and confidence for teaching appropriate behaviors from pretest to posttest. The participants also showed a nonsignificant decrease in stress for coping with maladaptive behaviors and a significant decrease in stress for teaching appropriate behaviors from pretest to posttest. The participants also showed significant mean changes on four specific items from pretest to posttest. The participants showed a significant increase in their confidence for teaching personal safety, confidence for teaching self-help skills, and confidence for teaching personal boundaries. The participants also showed a significant decrease in stress for teaching communication skills. The adult participants in the single subject research showed an increase in behavioral skills, while the child maladaptive behaviors decreased or stayed at an extremely low frequency. The results indicate that offering caregivers support in the form of training in applied behavior analysis teaching strategies may result in decreases stress levels and increased confidence in the area of teaching appropriate behaviors and coping with maladaptive behaviors.",Developmentally disabled children,2004,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma995634653402909
Teacher reporting and student self-reporting of internalizing and externalizing disorders in primary and elementary grade levels /,,Anxiety in children.,2004,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma995634523402909
"The role of agriculture and agricultural land in Humboldt County, CA : perspectives from producers and the public /",,Agriculture,2004,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma995634623402909
"Tsunami : Crescent City, California, March 27-28, 1964, and 20 years later.",,,1984,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma99918633402909
The Yurok news.,,Yurok Indians,1989,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993866953402909
Woody debris transport through low-order stream channels of northwest California : implications for road-stream crossing failure /,,Channels (Hydraulic engineering),2004,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma995634543402909
"25 years of self determination : a commemorative history of the California Rural Indian Health Board, Inc. /",,Indians of North America,1994,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993860013402909
Effects of timber harvesting on the lag time of Caspar Creek watershed /,,Runoff,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991034383402909
"Downstream migration, growth, and condition of juvenile fall chinook salmon in Redwood Creek, Humboldt County, California /",,Chinook salmon,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037903402909
A model for selecting alternative fuels for use in pupil transportation /,,School children,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991033713402909
City of Arcata wastewater management study : environmental impact report ... /,,Sewage disposal,1980,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992766283402909
"Circadian rhythms and performance : time of day variations in communication efficiency for ""morning"" and ""evening"" type subjects /",,Circadian rhythms.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038373402909
"California county information systems : form, structure, and planning for systems development /",,County government,1984,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991033653402909
The basket-maker artists /,,Indian baskets,1977,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992766213402909
Cash crop : an American dream /,,Marijuana industry,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma99915683402909
Simulator effectiveness in promoting procedural learning to students in an entry level fire science hydraulics course /,,Simulation games in education.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991034013402909
Directing Alfred Jarry's Ubu Roi : the savage God on stage /,,Theater,1978,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991033673402909
Why do honeybees reject certain flowers? /,,Honeybee.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991034033402909
"Comparison of two otolith aging methods for sablefish, Anoplopoma fimbria /",,Sablefish.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037873402909
Édouard Manet : catalogue raisonné /,,"Painting, French",1975,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma99916203402909
Locomotor adaptations in the appendicular skeletons of five species of North American sciurids /,,Squirrels,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037793402909
District 1 bicycle touring guide : covers the California Northcoast /,,Cycling,1979,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992760723402909
Attitudes of faculty and selected staff toward disabled students at Humboldt State University /,,Youth with disabilities,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991033983402909
The percent of agreement amony raters on a voice profiling system /,,Voice disorders in children.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038413402909
The attitudes of elementary school teachers toward supervision /,,School supervision,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991033813402909
Reno /,,Theater,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037943402909
Modeling association among suspect mycorrhizal fungi : Ericales and Pinaceae /,,Mycorrhizas.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038183402909
"The effects of Senate Bill 14, the Family Reunification Act in California : an evaluation /",,Child abuse,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038313402909
The effects of federal and state funding on academic achievement /,,Federal aid to education,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038363402909
"Ansichten der Natur, mit wissenschftlichen Erläuterungen.",,Science.,1871,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991030263402909
Premarital and extramarital sex : how attitudes and behaviors have changed /,,Premarital sex,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037823402909
A comparison between the north Pacific commercial albacore (Thunnus alalunga) catch and the satellite derived west coast thermal boundary analysis /,,Albacore.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038343402909
An experimental study of young children's strategies for naming pictures of unfamiliar objects /,,Children,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037773402909
Assessment of the experimental fungicide vinclozolin (Ornilan) in the control of of [sic] Botrytis cinerea Pers. in a containerized forest nursery /,,Vinclozolin.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991033953402909
"Geology of the Blue Lake quadrangle, California,",,Geology,1950,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991110243402909
"Avian use of newly created wetlands, Arcata, California : April 1980 to April 1981 /",,Water birds,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037853402909
"Habitat definition of nesting birds in the Double-O unit, Malheur National Wildlife Refuge, Oregon /",,Birds,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037923402909
Habitat and morphological relationships of a guild of ground-foraging birds in northern California /,,Birds,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038233402909
Fungus sporocarp production in a Pinus lambertiana Dougl. plantation /,,Fungi,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037843402909
"Geologic reconnaissance of the northern Coast Ranges and Klamath Mountains, California, with a summary of the mineral resources.",,Geology,1960,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991111143402909
Combining reading and science to study seashore ecology : a resource unit for grades 4-6 /,,Seashore biology,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991038403402909
Zur Geschichte der Kostüme /,Images depict historical dress from antiquity to the end 19th century.,Clothing and dress,18uu,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991030693402909
A behavioral and demographic analysis of the mothers of children who steal /,,Mother and child.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991033923402909
The War of the Rebellion : a compilation of the official records of the Union and Confederate armies /,"Official records produced by the armies of the United States and the Confederacy, and the executive branches of their respective governments, concerning the military operations of the Civil War, and prisoners of war or prisoners of state. Also annual reports of military departments, calls for troops, correspondence between national and state governments, correspondence between Union and Confederate officials. The final volume includes a synopsis, general index, special index for various military divisions, and background information on how these documents were collected and published. Accompanied by an atlas.",Regimental histories.,1880,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992766233402909
"History of Del Norte County, California : with a business directory and travelers guide /",,,1881,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992766143402909
The relationship of syntax to pragmatics in children's productions of varied requests /,,Children,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991037733402909
Life history relationships between the parasitic isopod Argeia pugettensis (Epicaridea: Bopyridae) and its host shrimp Crangon franciscorum (Caridea: crangonidae) /,,Argeia pugettensis.,1985,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991034403402909
The four ages of Tsurai : a documentary history of the Indian village on Trinidad Bay /,,Indians of North America,1952,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992742493402909
"Proceedings of the 8th Annual California Salmon, Steelhead and Trout Restoration Conference, February 23-25, 1990 /",,Fish habitat improvement,1990,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993773023402909
Rohnerville historic district /,,"Architecture, Domestic",1977,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992766333402909
"Draft environmental impact report for the City of Arcata on proposed annexation, general plan amendment and zone change by Universal Forest Products, Inc.",,City planning,1992,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993773053402909
"The natural history of Pterotus obscuripennis leconte (Lampyridae, Coleoptera) /",,Fireflies.,1979,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992746233402909
Draft report /,,Parks,1994,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993773483402909
Field guide to the late Cenozoic subduction tectonics & sedimentation of northern coastal California /,,Neotectonics.,1992,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993775903402909
A history of industrial arts at Humboldt State University /,,Industrial arts,1976,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992746083402909
Final environmental impact report for the Louisiana-Pacific Corporation pollution prevention project /,"""An overview of the environmetal effects of implementing an ocean water pollution reduction program at the Louisiana-Pacific (L-P) Pulp Mill at Samoa in Humboldt County, California""--Executive summary",Wood-pulp industry,1993,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993770843402909
"Action plan and budget for extended authorization of the Trinity River Basin Fish and Wildlife Restoration Program, California /","""The purpose of this report is to facilitate the authorization of funding needed to extend the implementation phase of the program for 5 years to September 30, 2000""--Executive summary, p. 1",Fisheries,1993,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993773033402909
Cumulative impacts assessment prepared for THP 1-91-065 Barnum Timber Company : final draft /,"Includes memorandum of referral from Dept. of Forestry and Fire Protection, Region I to Dept. of Fish & Game and Water Quality Control Board, State of California.",Watershed management,1993,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993773043402909
"Place names of Humboldt County, California : a compendium, 1542-1992 /",,"Names, Geographical",1993,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993771143402909
The role of fire in the redwood region /,,Forest fires,1932,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993775503402909
An examination of organic discharge profiles of several northwestern California streams with consideration of compounds potentially important to salmonid home stream recognition /,,Salmon fisheries,1979,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992746043402909
Group reading : a handbook for the English teachers training course in Japan /,,English language,1979,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992746183402909
Summary of campus-wide reports on charter campus status for HSU /,,Management,1994,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993775493402909
"Vegetation on quartz diorite in the Bear Lakes area, Trinity County, California /","Previous vegetation studies on granitic soils in the Klamath Region of Northern California suggest the area is typically floristically rich and vegetationally complex. My initial reconnaissance suggested the Bear Lakes area is much simpler in both respects. A descriptive and comparative study of this apparently different area was designed. Some 318 vascular plants were inventoried. The vegetation was then sampled following the Braun-Blanquet releve method. There were 198 releves taken. Vegetative and habitat data were analyzed by tabular comparison. Twelve vegetation types resulted; three herb-dominated, three shrub-dominated and six tree-dominated. Detailed comparison of the results with several previous works from nearby granitic areas shows the study area to be relatively floristically depauperate and xerophytic. This is reflected in the simplicity of its vegetation pattern. Dry herbaceous and chaparral types are extensive and are elevationally independent as compared to the less extensive, elevationally zoned forests. Forest zonation at Bear Lakes is similar to other areas in the region. Some forest type descriptions suggest appreciable similarities which become greatest, at higher elevations. The relatively small orographic mass of the study area is principally responsible for differences seen there. It results in steep terrains which support few, extensive, xerophytic communities. More gentle and mesic environments, supporting species-rich vegetation elsewhere, are scarce. The physiography of the study area also results in relatively little snowpack and reduced local climatic gradients. A regional climatic gradient makes the area drier as well. Extensive disturbance by fire promotes simplicity of pattern in the study area. Disturbance in nearby areas, with more complex vegetation patterns, enhances habitat diversity. Differences between Bear Lakes and other areas in the Klamath Region are in both degree and kind. This illustrates the complexity of the Klamath Region vegetation and suggests that regional descriptions need to be flexible.",Botany,1979,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992746093402909
"Sanitary survey of shellfish waters, Arcata Bay, California, February 1978 /",,Marine pollution,1978,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993775633402909
Readers theatre in the history classroom /,,Drama in education.,1979,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992746203402909
"Report on the Redwood Region Economic Summit Conference, November 19, 1992 /",,Economic history.,1993,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993770913402909
Mad River mouth migration : monitoring report /,,Sand,1993,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993773063402909
"Heavy mineral, clay mineral, and geochemical data of surface sediments from coastal northern California rivers /",,Geochemistry,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991408063402909
"Shipwrecked at Samoa, California the loss of the Navy cruiser U.S.S. Milwaukee, launched 1906, lost 1917",,Shipwrecks,1993,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993777563402909
Discovering father : a factor analysis of paternal home behavior /,,Father and child.,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991402833402909
Attitudes and biases regarding premenstrual syndrome /,,Premenstrual syndrome,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991409203402909
To quit or not to quit : a survey on smoking behavior /,,Cigarette habit.,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991402893402909
A comparison of job satisfaction between high school dropouts and high school graduates /,,High school dropouts,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991402943402909
The effects of the type of review cue on memory for meaningful material /,,Mnemonics.,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991408713402909
"The relationship between Eysenck's personality dimensions (extraversion, neuroticism, psychoticism) and psychosomatic symptoms /",,Personality,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991409163402909
Sex-role orientation and attitudes towards male day care workers /,,Day care aides,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991409143402909
"Student and business services building, Humboldt State University : initial study and negative declaration /",,Buildings,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991407813402909
Students' ratings of early experiences and drop out rates at Humboldt State University /,,College dropouts,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991408783402909
The effects of dysmenorrhea and PMS on absenteeism among school age females /,,Dysmenorrhea.,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991408703402909
Childhood depression as a consequence of loss /,,Depression in children.,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991402873402909
"Blood chemistry, hematology, and condition evaluation of black bears in northcoastal California /",,Black bear,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991408753402909
Draft environmental impact report : water storage reservoir and water transmission pipeline /,,Reservoirs,1980,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992713053402909
"The history of Del Norte County, California; including the story of its pioneers with many of their personal narratives.",,,1953,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992712463402909
"Humbolt County, California atlas /",,,1974,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992713483402909
The geographical uniqueness of California's north coast counties : Humboldt and Del Norte /,,,1963,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992712793402909
"California Redwood Park, sometimes called Sempervirens Park : an appreciation.","""California's Redwood Park Commissioners put forth this booklet, for the double purpose of conveying to the people of the State a better knowledge and a keener appreciation of the State's forest reservation, and also to impress upon the people the importance of securing for State ownership the entire area of the Big Basin.""--From the foreword.",Coast redwood,1912,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991402763402909
"Adolescents, social class and career development : a study effecting change in locus of control /",,Self-perception in children.,1986,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991402933402909
Steam in the redwoods /,,Logging railroads,1988,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma991406613402909
A short history of Humboldt State : from Normal School to University /,,,1976,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992713173402909
"Pioneers of Elk Valley, Del Norte County, California : fifty years in the history of Elk Valley from 1850 to the turn of the century.",,,1960,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma992712443402909
Morpholine imprinting of chinook (Oncorhynchus tshawytscha) and coho salmon (O. kisutch) in an anadromous fish hatchery /,,Fishes,1981,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993136963402909
"The ethnobotany of the Yurok, Tolowa, and Karok Indians of northwest California /",,Botany,1981,Alma,Cal Poly Humboldt Special Collections,https://img.icons8.com/color/96/book.png,https://csu-humboldt.primo.exlibrisgroup.com/permalink/01CALS_HUL/omcour/alma993136593402909
